city;lat;lng;region;population
Tyrnävä;64.7500;25.6500;Pohjois-Pohjanmaa;6793
Kristinestad;62.2667;21.3500;Pohjanmaa;6793
Parkano;62.0083;23.0250;Pirkanmaa;6766
Vörå;63.1333;22.2500;Pohjanmaa;6714
Kronoby;63.7250;23.0333;Pohjanmaa;6682
Pälkäne;61.3540;24.5191;Pirkanmaa;6676
Viitasaari;63.0750;25.8597;Keski-Suomi;6666
Eno;62.8000;30.1500;Pohjois-Karjala;6653
Vanaja;61.0036;24.4694;Kanta-Häme;6636
Rajamäki;60.5275;24.7500;Uusimaa;6605
Juva;61.8972;27.8569;Etelä-Savo;6548
Piikkiö;60.4250;22.5167;Varsinais-Suomi;6505
Nilsiä;63.2050;28.0833;Pohjois-Savo;6499
Mänttä;62.0292;24.6236;Pirkanmaa;6341
Tammela;60.8000;23.7667;Kanta-Häme;6280
Siuntio;60.1333;24.2167;Uusimaa;6182
Mäntyharju;61.4181;26.8792;Etelä-Savo;6159
Pieksämäen Maalaiskunta;62.2833;27.0667;Etelä-Savo;6118
Rusko;60.5417;22.2222;Varsinais-Suomi;6110
Noormarkku;61.5917;21.8667;Satakunta;6109
Heinolan Maalaiskunta;61.2500;26.0667;Päijät-Häme;6070
Pattijoki;64.7000;24.5833;Pohjois-Pohjanmaa;6069
Ähtäri;62.5500;24.0667;Etelä-Pohjanmaa;6068
Saloinen;64.6561;24.4680;Pohjois-Pohjanmaa;5914
Loimaan Kunta;60.8667;22.9833;Varsinais-Suomi;5909
Perniö;60.2042;23.1222;Varsinais-Suomi;5903
Nakkila;61.3653;22.0042;Satakunta;5651
Kangasniemi;61.9900;26.6417;Etelä-Savo;5628
Kerimäki;61.9167;29.2833;Etelä-Savo;5554
Malax;62.9417;21.5500;Pohjanmaa;5545
Ylistaro;62.9403;22.5167;Etelä-Pohjanmaa;5543
Ingå;60.0456;24.0047;Uusimaa;5541
Kannus;63.9000;23.9167;Keski-Pohjanmaa;5520
Lammi;61.0792;25.0111;Kanta-Häme;5506
Pyhäjärvi;63.6833;25.9833;Pohjois-Pohjanmaa;5505
Teuva;62.4861;21.7472;Etelä-Pohjanmaa;5482
Vilppula;62.0222;24.5097;Pirkanmaa;5457
Jokioinen;60.8042;23.4861;Kanta-Häme;5425
Suolahti;62.5639;25.8528;Keski-Suomi;5364
Pyhtää;60.5000;26.5500;Kymenlaakso;5321
Ruokolahti;61.2917;28.8167;Etelä-Karjala;5312
Larsmo;63.7500;22.8000;Pohjanmaa;5264
Hankasalmi;62.3889;26.4361;Keski-Suomi;5240
Parikkala;61.5500;29.5000;Etelä-Karjala;5235
Oulujoki;65.0072;25.5636;Pohjois-Pohjanmaa;5230
Dickursby;60.2931;25.0439;Uusimaa;5211
Viiala;61.2111;23.7667;Pirkanmaa;5207
Pornainen;60.4750;25.3750;Uusimaa;5125
Sievi;63.9069;24.5167;Pohjois-Pohjanmaa;5124
Joroinen;62.1833;27.8333;Etelä-Savo;5110
Askola;60.5278;25.6000;Uusimaa;5104
Kellokoski;60.5306;25.1053;Uusimaa;5000
Korpilahti;62.0167;25.5611;Keski-Suomi;4985
Pojo;60.1000;23.5250;Uusimaa;4920
Luumäki;60.9167;27.5667;Etelä-Karjala;4860
Nousiainen;60.6000;22.0833;Varsinais-Suomi;4859
Ristiina;61.5069;27.2556;Etelä-Savo;4856
Äetsä;61.2847;22.6972;Pirkanmaa;4837
Urjala;61.0833;23.5500;Pirkanmaa;4829
Taipalsaari;61.1597;28.0597;Etelä-Karjala;4815
Juankoski;63.0667;28.3333;Pohjois-Savo;4804
Isokyrö;63.0000;22.3167;Pohjanmaa;4785
Vähäkyrö;63.0550;22.1083;Pohjanmaa;4775
Alahärmä;63.2500;22.8500;Etelä-Pohjanmaa;4717
Joutsa;61.7417;26.1153;Keski-Suomi;4688
Jomala;60.1500;19.9500;Åland;4648
Ruovesi;61.9833;24.1167;Pirkanmaa;4623
Kärkölä;60.8681;25.2778;Päijät-Häme;4604
Gladas;60.3289;25.0139;Uusimaa;4578
Polvijärvi;62.8550;29.3667;Pohjois-Karjala;4556
Vesilahti;61.3167;23.6167;Pirkanmaa;4489
Ruukki;64.6639;25.1014;Pohjois-Pohjanmaa;4479
Kälviä;63.8611;23.4528;Keski-Pohjanmaa;4475
Sääksmäki;61.2000;24.0667;Pirkanmaa;4467
Jurva;62.6861;21.9819;Etelä-Pohjanmaa;4368
Vanhakylä;61.4349;21.8969;Satakunta;4326
Kaustinen;63.5500;23.6917;Keski-Pohjanmaa;4305
Sysmä;61.5038;25.6837;Päijät-Häme;4040
Petäjävesi;62.2500;25.1833;Keski-Suomi;4008
Aura;60.6472;22.5903;Varsinais-Suomi;3991
Hauho;61.1722;24.5625;Kanta-Häme;3907
Koria;60.8333;26.6000;Kymenlaakso;3876
Maaninka;63.1583;27.3000;Pohjois-Savo;3773
Uurainen;62.5000;25.4367;Keski-Suomi;3747
Rantasalmi;62.0667;28.3000;Etelä-Savo;3733
Kuortane;62.8083;23.5083;Etelä-Pohjanmaa;3715
Muuruvesi;63.0153;28.2085;Pohjois-Savo;3708
Pertteli;60.4472;23.2486;Varsinais-Suomi;3658
Seinäjoki;62.5667;23.0667;Etelä-Pohjanmaa;3653
Savitaipale;61.2000;27.6833;Etelä-Karjala;3613
Rautjärvi;61.4333;29.3500;Etelä-Karjala;3537
Karttula;62.8967;26.9667;Pohjois-Savo;3437
Kalvola;61.0917;24.1347;Kanta-Häme;3399
Luvia;61.3611;21.6250;Satakunta;3349
Virolahti;60.5833;27.7000;Kymenlaakso;3347
Kiukainen;61.2069;22.0833;Satakunta;3338
Dragsfjärd;60.0722;22.4694;Varsinais-Suomi;3332
Toholampi;63.7717;24.2505;Keski-Pohjanmaa;3311
Rautalampi;62.6217;26.8333;Pohjois-Savo;3303
Veteli;63.4753;23.7886;Keski-Pohjanmaa;3302
Kimito;60.1639;22.7278;Varsinais-Suomi;3252
Lappi;61.1014;21.8444;Satakunta;3236
Lappajärvi;63.2167;23.6333;Etelä-Pohjanmaa;3215
Pyhäjoki;64.4840;24.2150;Pohjois-Pohjanmaa;3211
Kaavi;62.9750;28.4833;Pohjois-Savo;3194
Merikarvia;61.8583;21.5000;Satakunta;3185
Töysä;62.6333;23.8167;Etelä-Pohjanmaa;3156
Padasjoki;61.3514;25.2776;Päijät-Häme;3143
Uskela;60.3753;23.1306;Varsinais-Suomi;3105
Maaria;60.5333;22.3333;Varsinais-Suomi;3076
Lemi;61.0611;27.8042;Etelä-Karjala;3073
Vimpeli;63.1617;23.8167;Etelä-Pohjanmaa;3073
Vihanti;64.4833;25.0000;Pohjois-Pohjanmaa;3059
Punkalaidun;61.1117;23.1050;Pirkanmaa;3049
Himanka;64.0583;23.6500;Keski-Pohjanmaa;3038
Sauvo;60.3417;22.6917;Varsinais-Suomi;3019
Hartola;61.5835;26.0194;Päijät-Häme;2982
Keikyä;61.2718;22.7025;Pirkanmaa;2977
Ylihärmä;63.1417;22.7917;Etelä-Pohjanmaa;2960
Varpaisjärvi;63.3583;27.7583;Pohjois-Savo;2952
Alastaro;60.9542;22.8639;Varsinais-Suomi;2932
Nummi;60.3917;23.8833;Uusimaa;2915
Ruotsinpyhtää;60.5250;26.4667;Uusimaa;2895
Mouhijärvi;61.5125;23.0083;Pirkanmaa;2894
Reisjärvi;63.6056;24.9319;Pohjois-Pohjanmaa;2894
Lohtaja;64.0236;23.5056;Keski-Pohjanmaa;2820
Kuorevesi;61.8500;24.7833;Keski-Suomi;2819
Teisko;61.6732;23.8479;Pirkanmaa;2816
Lappträsk;60.6167;26.2000;Uusimaa;2774
Kuru;61.8769;23.7250;Pirkanmaa;2759
Konnevesi;62.6283;26.2833;Keski-Suomi;2757
Alavieska;64.1667;24.3083;Pohjois-Pohjanmaa;2687
Köyliö;61.1167;22.3083;Satakunta;2647
Kiihtelysvaara;62.4931;30.2514;Pohjois-Karjala;2635
Vuolijoki;64.1833;26.9972;Kainuu;2632
Kylmäkoski;61.1500;23.6917;Pirkanmaa;2632
Karkku;61.4183;23.0131;Pirkanmaa;2625
Tuusniemi;62.8083;28.4917;Pohjois-Savo;2597
Översundom;63.0325;21.5464;Pohjanmaa;2530
